Year,Month,Date,Hours,Minutes,Name,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Damage
1993,7,10,20,40,"COSTA RICA: TURRIALBA, CARTAGO",9.821,-83.622,20,5.8,2,9,
1993,7,12,13,17,JAPAN: HOKKAIDO; RUSSIA: SOUTHEAST; SOUTH KOREA,42.851,139.197,17,7.7,23,233,1207
1993,8,1,0,20,SUDAN: KHARTOUM,15.385,31.69,13,5.5,2,9,
1993,9,10,19,12,GUATEMALA: SOUTHWEST; MEXICO: CHIAPAS,14.717,-92.645,34,7.2,1,3,
1993,9,29,22,25,"INDIA: LATUR-OSMANABAD, KILLARI",18.066,76.451,7,6.2,11000,30000,300
1993,10,13,2,6,PAPUA NEW GUINEA: EASTERN: UPPER MARKHAM VALLEY,-5.889,146.02,25,6.9,60,200,5
1994,1,17,12,30,CALIFORNIA: NORTHRIDGE,34.213,-118.537,18,6.7,60,7000,40000
1994,1,21,2,24,INDONESIA: KAU,1.015,127.733,20,7,9,300,
1994,2,15,17,7,"INDONESIA: SOUTHERN SUMATERA, LIWA, LAMPUNG",-4.967,104.302,23,6.9,207,2000,170.476
1994,3,1,3,49,IRAN: SOUTHERN: FIRUZABAD,29.096,52.617,13,6.1,2,50,
1994,6,5,1,9,"TAIWAN: CHI-LUNG, I-LAN, TAIPEI, NAN-AO",24.511,121.905,11,6.4,1,2,
1994,6,20,9,9,"IRAN: FIRUZABAD, SHIRAZ",28.968,52.614,9,5.9,3,100,
1994,10,4,13,22,RUSSIA: KURIL ISLANDS; JAPAN: HOKKAIDO,43.773,147.321,14,8.3,11,382,
1994,10,8,21,44,INDONESIA: HALMAHERA,-1.258,127.98,17,6.8,1,52,
1994,11,14,19,15,PHILIPPINES: MINDORO,13.525,121.067,32,7.1,81,225,3.7
1994,12,28,12,19,JAPAN: HONSHU,40.525,143.419,27,7.8,3,200,170.4
1995,1,16,20,46,"JAPAN: SW HONSHU: KOBE, AWAJI-SHIMA, NISHINOMIYA",34.583,135.018,22,6.9,5502,36896,100000
1995,2,8,18,40,"COLOMBIA: CALI, PEREIRA, ARMENIA, CALARCA",4.104,-76.622,74,6.4,45,400,50
1995,2,23,21,3,"CYPRUS: PAPHOS, NICOSIA, ARODHES, PERISTERONA",35.046,32.279,10,5.9,2,5,4.34
1995,5,27,13,3,"RUSSIA: SAKHALIN IS: NEFTEGORSK, OKHA, MOSKALVO",52.629,142.827,11,7.1,1989,750,300
1995,6,15,0,15,"GREECE: AIYION, ERATINI",38.401,22.283,14,6.5,26,60,660
1995,7,11,21,46,"CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND",21.966,99.196,13,6.8,11,136,36.1
1995,7,21,22,44,"CHINA: GANSU, YONGDENG, BAIYIN, DINGXI, JINGTAI",36.427,103.123,13,5.6,14,60,
1995,7,30,5,11,"CHILE: ANTOFAGASTA, CALAMA, MEJILLONES",-23.34,-70.294,46,8,3,58,1.66
1995,9,14,14,4,"MEXICO: GUERRERO, OAXACA, PUEBLA, MEXICO CITY",16.779,-98.597,23,7.4,3,100,
1995,10,1,15,57,"TURKEY: DINAR, EVCILER",38.063,30.134,33,6.4,95,348,205.8
1995,10,3,1,51,ECUADOR: QUITO,-2.75,-77.881,24,7,2,5,
1995,10,6,18,9,"INDONESIA: SUMATERA, JAMBI PROVINCE",-2.045,101.436,33,6.8,84,1868,
1995,10,9,15,35,"MEXICO: JALISCO, MANZANILLO, SAN PATRICIO MELAQUE",19.055,-104.205,33,8,49,200,
1995,10,23,22,46,CHINA: YUNNAN PROVINCE: WUDING,26.003,102.227,10,6.2,81,800,80
1995,11,22,4,15,EGYPT: NUWAYBI; SAUDI ARABIA; ISRAEL; JORDAN,28.826,34.799,10,7.2,11,47,
1996,2,3,11,14,CHINA: YUNNAN PROVINCE: LIJIANG,27.291,100.276,11,6.6,322,17057,506
1996,2,17,5,59,"INDONESIA: NEW GUINEA: IRIAN JAYA: BIAK, SUPIORI",-0.891,136.952,33,8.2,54,423,4.2
1996,3,19,15,0,"CHINA: S. XINJIANG: ARTUX, JIASHI, BACHU, KASHI",39.993,76.696,28,6.3,24,128,24
1996,5,3,3,32,"CHINA: NEI MONGOL: BAOTOU, BEIJING, HOHHOT",40.774,109.661,26,6,23,330,
1996,11,12,16,59,"PERU: CHINCHA ALTA, ACARI, NAZCA, MARCONA",-14.993,-75.675,33,7.7,14,560,
1997,1,21,1,48,CHINA: SOUTHERN XINJIANG: JIASHI COUNTY,39.474,76.998,33,5.9,12,40,
1997,2,4,10,37,"IRAN: BOJNURD, SHIRVAN, ESFARAYEN",37.661,57.291,10,6.5,88,1948,30
1997,2,28,12,57,IRAN: ARDABIL,38.075,48.05,10,6.1,1100,2600,
1997,3,1,6,4,"CHINA: S. XINJIANG, JIASHI COUNTY, KASHI",39.422,76.839,22,5.6,2,6,
1997,4,11,5,34,"CHINA: S. XINJIANG, BACHU, SHULE, YINGJISHA",39.527,76.941,15,6.2,9,89,
1997,5,10,7,57,"IRAN: BIRJAND, GHAEN",33.825,59.809,10,7.2,1728,2300,100
1997,5,21,22,51,INDIA: SOUTHERN: JABALPUR,23.083,80.041,36,5.8,56,1000,143
1997,7,9,19,24,VENEZUELA: CARIACO-CUMANA,10.598,-63.486,20,7,81,522,81
1997,7,21,8,45,SOUTH AFRICA: AVGOLD'S HARTEBEESTFONTEIN MINE,-26.857,26.619,5,5,15,46,
1997,9,26,9,40,"ITALY: CENTRAL: MARCHE, UMBRIA",43.084,12.812,10,6,14,100,4524.9
1997,9,28,1,38,"INDONESIA: SULAWESI, PAREPARE",-3.776,119.727,33,5.9,20,300,1.1
1997,10,15,1,3,"CHILE: PUEBLO NUEVO, COQUIMBO, LA CHIMBA",-30.933,-71.22,58,7.1,8,300,48
1997,11,21,11,23,"INDIA-BANGLADESH: CHITTAGONG, BANGLADESH",22.212,92.702,54,6.1,23,200,
1998,1,10,3,50,"CHINA: NORTHEASTERN: SHANGYI-ZHANGBEI, HEBEI",41.083,114.5,30,5.7,70,11500,285.5
1998,2,4,14,33,AFGHANISTAN: ROSTAQ; TAJIKISTAN: DUSHANBE,37.075,70.089,33,5.9,2323,818,
1998,2,20,12,18,"AFGHANISTAN-TAJIKISTAN: YAR HUSAIN, ASTOR",36.479,71.086,236,6.4,1,11,
1998,3,14,19,40,"IRAN: GOLBAF, BAFT, KERMAN",30.154,57.605,9,6.6,5,50,
1998,4,10,15,0,"IRAN: BIRJAND, GONABAD",32.457,59.976,33,5.8,12,10,
1998,5,22,4,48,"BOLIVIA: CENTRAL: AIQUILE, TOTORA",-17.731,-65.431,24,6.6,105,150,
1998,6,27,13,55,"TURKEY: ADANA, CEYHAN",36.878,35.307,33,6.3,145,1500,550
1998,7,9,5,19,"AZORES: FAIAL, PICO, TERCEIRA",38.65,-28.626,10,6.2,10,100,72
1998,7,17,4,51,"TAIWAN: CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG",23.407,120.736,13,5.7,5,27,
1998,8,4,18,59,"ECUADOR: BAHIA DE CARAQUEZ, CANOA",-0.593,-80.393,33,7.2,3,40,
1998,8,27,9,3,CHINA: SOUTHERN XINJIANG: JIASHI,39.66,77.343,33,6.4,3,7,
1998,9,29,22,14,"BALKANS NW: SERBIA: BELGRADE, LJIG, VALJEVO",44.209,20.08,10,5.5,1,17,
1998,11,13,13,1,IRAN: SOUTHERN: BIGHERD-KHONJ,27.791,53.608,33,5.4,5,105,
1998,11,19,11,38,"CHINA: SICHUAN PROVINCE: HUAPING, LIJIANG, NINGLAG",27.308,101.029,33,5.6,5,1543,70
1998,11,29,14,10,"INDONESIA: MANGOLE, MANADO, TALIABU",-2.071,124.891,33,7.7,41,107,200
1999,1,25,18,19,"COLOMBIA: ARMENIA, CALARCA, PEREIRA, CALDAS, HUILA",4.461,-75.724,17,6.2,1185,4750,1857.366
1999,2,11,14,8,"AFGHANISTAN: LOWGAR, VARDAK, KABUL",34.259,69.364,33,6,70,500,
1999,3,28,19,5,"INDIA: CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL",30.512,79.403,15,6.6,100,394,70
1999,4,3,6,17,"PERU: CAMANA, AREQUIPA",-16.66,-72.662,87,6.8,1,50,
1999,5,6,23,0,IRAN: SOUTHERN: FARS PROVINCE,29.501,51.88,33,6.2,26,100,
1999,6,4,9,12,"AZERBAIJAN: AGDAS, UCAR, AGALI",40.802,47.448,33,5.4,1,18,5
1999,6,15,20,42,"MEXICO: PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",18.386,-97.436,70,7,20,200,226.8
1999,7,11,14,14,GUATEMALA: IZABAL-PUERTO BARRIOS; HONDURAS: W,15.782,-88.33,10,6.7,2,40,
1999,7,22,10,42,"BANGLADESH: MAHESHKHALI ISLAND, COX'S BAZAAR",21.544,91.895,10,4.2,6,200,
1999,8,17,0,1,"TURKEY: ISTANBUL, KOCAELI, SAKARYA",40.76,29.97,13,7.6,17118,50000,20000
1999,8,31,8,10,TURKEY: IZMIT,40.711,29.949,10,5.2,1,166,
1999,9,7,11,56,GREECE: ATHENS,38.119,23.605,10,6,143,1600,4200
1999,9,13,11,55,TURKEY: ADAPAZARI-GOLUCK-KOCAELI,40.709,30.045,13,5.8,7,422,
1999,9,20,17,47,"TAIWAN: NANTOU, TAICHUNG, TAIZHONG",23.772,120.982,33,7.7,2297,8700,14000
1999,9,30,16,31,MEXICO: OAXACA,16.059,-96.931,61,7.5,35,215,164.8
1999,10,22,2,18,TAIWAN: CHIA-I,23.445,120.506,33,5.9,1,254,0.786
1999,11,11,14,41,"TURKEY: ADAPAZARI, KOCEALI, GOLCUK",40.744,30.266,22,5.7,2,171,
1999,11,12,16,57,"TURKEY: BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK",40.758,31.161,10,7.2,894,4948,1000
1999,11,24,16,40,CHINA: YUNNAN PROVINCE: CHENGJIANG,24.589,102.872,33,4.6,1,5,
1999,11,26,13,21,VANUATU ISLANDS: PENTECOST,-16.423,168.214,33,7.5,5,100,
1999,12,3,17,6,"TURKEY: GORESKEN, ERZURUM PROVINCE",40.358,42.346,19,5.7,1,6,
1999,12,11,18,3,"PHILIPPINES: S LUZON: MANILA, SANTA CRUZ",15.766,119.74,33,7.3,5,40,1.794
1999,12,21,14,14,"INDONESIA: PANDEGLANG, W JAWA, SE SUMATERA",-6.845,105.555,56,6.5,5,220,3.9
1999,12,22,17,36,ALGERIA: NORTHERN: AIN TEMOUCHENT,35.321,-1.281,10,5.6,24,175,60.929
2000,1,14,23,37,CHINA: YUNNAN PROVINCE: YAOAN COUNTY,25.607,101.063,33,5.9,5,2528,73.5
2000,2,2,22,58,"IRAN: BARDASKAN, KASHMAR",35.288,58.218,33,5.3,1,15,
2000,5,4,4,21,"INDONESIA: SULAWESI: LUWUK, BANGGAI, PELENG,",-1.105,123.573,26,7.6,46,264,30
2000,5,17,3,25,TAIWAN: TAI-CHUNG COUNTY,24.223,121.058,10,5.4,3,13,
